INFO 2024-11-06 17:50:26,335 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1730154309.876035
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/models/fields/mixins.py first seen with mtime 1730154309.9140353
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/utils/hashable.py first seen with mtime 1730154309.9570355
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/sqlparse/engine/filter_stack.py first seen with mtime 1729982439.5388389
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/Documentos/lucas/univesp/pi2_univesp/lava_jato/public_site/apps.py first seen with mtime 1730156227.8139088
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1730154309.907035
DEBUG 2024-11-06 17:50:26,444 autoreload File /usr/lib/python3.12/concurrent/__init__.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,444 autoreload File /usr/lib/python3.12/pathlib.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/cache/__init__.py first seen with mtime 1730154309.873035
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/messages/apps.py first seen with mtime 1730154309.682033
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/handlers/exception.py first seen with mtime 1730154309.880035
DEBUG 2024-11-06 17:50:26,444 autoreload File /usr/lib/python3.12/types.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/dispatch/__init__.py first seen with mtime 1730154309.9200354
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/sessions/apps.py first seen with mtime 1730154309.777034
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/backends/base/operations.py first seen with mtime 1730154309.894035
DEBUG 2024-11-06 17:50:26,445 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1730154309.8710349
DEBUG 2024-11-06 17:50:26,445 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/admin/apps.py first seen with mtime 1730154309.2910295
DEBUG 2024-11-06 17:50:26,445 autoreload File /usr/lib/python3.12/string.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,445 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/template/defaulttags.py first seen with mtime 1730154309.9420354
DEBUG 2024-11-06 17:50:26,445 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/servers/__init__.py first seen with mtime 1730154309.891035
DEBUG 2024-11-06 17:50:26,445 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/sites/shortcuts.py first seen with mtime 1730154309.8280344
DEBUG 2024-11-06 17:50:26,445 autoreload File /usr/lib/python3.12/asyncio/futures.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,445 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/staticfiles/finders.py first seen with mtime 1730154309.8690348
